plate_number,fir_case_number,crime_type,alert_active,alert_priority
KA-47-KB-2474,KAR/KAL/2024/0001,chain_snatching,False,high
KA-01-M-2608,KAR/HAS/2024/0004,robbery,True,high
KA-42-B-3044,KAR/BEN/2024/0007,vehicle_theft,True,high
KA-15-B-7578,KAR/DAV/2024/0009,robbery,False,high
KA-18-N-3425,KAR/CHI/2024/0010,chain_snatching,True,high
KA-10-M-9497,KAR/BEN/2024/0014,robbery,True,high
KA-06-KB-5242,KAR/BEN/2024/0015,robbery,True,high
KA-52-N-2635,KAR/DAV/2024/0016,chain_snatching,True,high
KA-16-P-6845,KAR/BEN/2024/0021,vehicle_theft,True,high
KA-52-P-3545,KAR/BEN/2024/0023,robbery,False,high
KA-14-A-5948,KAR/MAN/2024/0024,vehicle_theft,True,high
KA-50-N-2703,KAR/KOL/2024/0026,chain_snatching,True,high
KA-09-N-2924,KAR/HUB/2024/0027,chain_snatching,True,high
KA-26-KB-9057,KAR/MYS/2024/0028,vehicle_theft,True,high
KA-55-M-6835,KAR/BEN/2024/0036,vehicle_theft,True,high
KA-52-M-9150,KAR/MYS/2024/0040,vehicle_theft,True,high
KA-44-A-5707,KAR/BAL/2024/0041,vehicle_theft,True,high
KA-51-A-7868,KAR/BEN/2024/0045,robbery,True,high
KA-54-N-7612,KAR/MAN/2024/0046,vehicle_theft,True,high
KA-21-A-7309,KAR/KOL/2024/0048,chain_snatching,True,high
KA-49-M-4320,KAR/BEN/2024/0049,robbery,True,high
KA-28-B-2062,KAR/MAN/2024/0051,vehicle_theft,True,high
KA-11-A-5878,KAR/BEN/2024/0053,vehicle_theft,False,high
KA-39-A-9017,KAR/SHI/2024/0056,vehicle_theft,True,high
KA-14-M-1791,KAR/MYS/2024/0058,robbery,True,high
KA-46-N-8787,KAR/BEN/2024/0059,robbery,True,high
KA-23-KB-1223,KAR/BAL/2024/0061,chain_snatching,True,high
KA-30-N-7264,KAR/BEN/2024/0063,robbery,True,high
KA-34-P-1980,KAR/BEN/2024/0065,vehicle_theft,True,high
KA-44-P-7371,KAR/BEN/2024/0066,vehicle_theft,True,high
KA-02-KB-6128,KAR/MAN/2024/0067,chain_snatching,True,medium
KA-27-KA-8919,KAR/BEN/2024/0070,vehicle_theft,True,medium
KA-04-A-9017,KAR/BEN/2024/0071,vehicle_theft,True,medium
KA-37-KB-4202,KAR/BEN/2024/0073,chain_snatching,True,medium
KA-39-A-5196,KAR/HUB/2024/0075,vehicle_theft,False,medium
KA-31-KB-9725,KAR/HUB/2024/0077,vehicle_theft,True,medium
KA-23-A-5288,KAR/BID/2024/0079,vehicle_theft,True,medium
KA-46-B-6350,KAR/SHI/2024/0082,vehicle_theft,False,medium
KA-05-N-2264,KAR/BAL/2024/0083,chain_snatching,True,medium
KA-43-A-6232,KAR/KAL/2024/0084,robbery,False,medium
KA-24-M-4792,KAR/BEN/2024/0085,vehicle_theft,True,medium
KA-43-A-4209,KAR/BEN/2024/0087,vehicle_theft,True,medium
KA-07-A-7886,KAR/MAN/2024/0088,chain_snatching,True,medium
KA-50-KA-1373,KAR/BEN/2024/0089,vehicle_theft,True,medium
KA-22-A-6887,KAR/BEN/2024/0093,chain_snatching,True,medium
KA-52-A-8227,KAR/BAL/2024/0097,vehicle_theft,False,medium
KA-21-M-4419,KAR/BEN/2024/0102,chain_snatching,True,medium
KA-43-A-6586,KAR/BEN/2024/0104,chain_snatching,True,medium
KA-07-KA-2622,KAR/UDU/2024/0106,chain_snatching,True,medium
KA-54-KB-4801,KAR/BEN/2024/0107,robbery,True,medium
KA-14-N-3129,KAR/BEN/2024/0110,chain_snatching,True,medium
KA-52-B-8332,KAR/KAL/2024/0112,chain_snatching,False,medium
KA-26-M-8652,KAR/DAV/2024/0113,vehicle_theft,True,medium
KA-41-P-6596,KAR/HAS/2024/0114,chain_snatching,True,medium
KA-14-M-8066,KAR/HUB/2024/0116,chain_snatching,True,medium
KA-06-KB-7020,KAR/BEN/2024/0119,robbery,True,medium
KA-51-M-8698,KAR/BEN/2024/0120,vehicle_theft,True,medium
KA-16-KB-6584,KAR/KOP/2024/0121,chain_snatching,True,medium
KA-16-A-1868,KAR/VIJ/2024/0123,chain_snatching,True,medium
KA-29-A-5202,KAR/KOL/2024/0124,robbery,True,medium
KA-11-B-9262,KAR/BAL/2024/0125,chain_snatching,True,medium
KA-34-KB-9978,KAR/BEN/2024/0126,vehicle_theft,True,medium
KA-19-P-9948,KAR/BEN/2024/0131,chain_snatching,True,medium
KA-02-A-7805,KAR/BEN/2024/0132,chain_snatching,True,medium
KA-18-P-3983,KAR/MAN/2024/0133,chain_snatching,True,medium
KA-42-KA-2165,KAR/UDU/2024/0134,vehicle_theft,True,medium
KA-26-P-4937,KAR/DAV/2024/0137,chain_snatching,True,medium
KA-31-P-7985,KAR/BEN/2024/0144,robbery,False,medium
KA-17-A-9865,KAR/BAL/2024/0148,vehicle_theft,True,medium
KA-08-M-7433,KAR/DAV/2024/0154,chain_snatching,True,medium
KA-07-KB-3998,KAR/KOP/2024/0155,chain_snatching,True,medium
KA-50-B-6434,KAR/BEN/2024/0163,vehicle_theft,True,medium
KA-35-B-5899,KAR/HUB/2024/0166,robbery,True,medium
KA-39-M-2467,KAR/MAN/2024/0167,chain_snatching,True,medium
KA-49-P-2243,KAR/BEL/2024/0168,vehicle_theft,False,medium
KA-17-KA-1759,KAR/BEN/2024/0169,robbery,False,medium
KA-17-B-3212,KAR/BEN/2024/0174,vehicle_theft,True,medium
KA-51-N-8760,KAR/BEN/2024/0175,chain_snatching,True,medium
KA-40-M-1042,KAR/BID/2024/0176,vehicle_theft,False,medium
KA-54-A-8659,KAR/BEN/2024/0177,vehicle_theft,True,medium
