plate_number,fir_case_number,crime_type,alert_active,alert_priority
KA-17-M-1433,KAR/UDU/2024/0001,chain_snatching,true,high
KA-10-M-8588,KAR/BEN/2024/0002,chain_snatching,true,high
KA-24-P-7051,KAR/SHI/2024/0003,robbery,true,high
KA-05-P-9869,KAR/MAN/2024/0006,vehicle_theft,true,high
KA-07-KB-3147,KAR/BEN/2024/0009,vehicle_theft,true,high
KA-14-KB-2149,KAR/BEN/2024/0010,vehicle_theft,true,high
KA-36-A-5734,KAR/TUM/2024/0011,chain_snatching,true,high
KA-49-KB-6921,KAR/BEN/2024/0012,chain_snatching,true,high
KA-33-B-9104,KAR/BEN/2024/0014,vehicle_theft,true,high
KA-10-M-7769,KAR/BEL/2024/0019,chain_snatching,true,high
KA-17-KA-7627,KAR/BEN/2024/0020,vehicle_theft,true,high
KA-10-KB-9389,KAR/MAN/2024/0024,vehicle_theft,true,high
KA-36-KA-2612,KAR/BEN/2024/0025,vehicle_theft,false,high
KA-04-A-2738,KAR/BEN/2024/0026,vehicle_theft,false,high
KA-46-KB-9515,KAR/BEN/2024/0028,chain_snatching,true,high
KA-46-A-1701,KAR/CHI/2024/0031,chain_snatching,true,high
KA-50-KB-8429,KAR/MYS/2024/0036,robbery,true,high
KA-22-KA-9944,KAR/BAL/2024/0037,vehicle_theft,true,high
KA-20-P-7134,KAR/KOL/2024/0043,vehicle_theft,true,high
KA-07-KB-7317,KAR/SHI/2024/0044,robbery,true,high
KA-18-A-6044,KAR/BEN/2024/0045,vehicle_theft,true,high
KA-07-A-9858,KAR/VIJ/2024/0049,robbery,true,high
KA-09-KA-5134,KAR/KOP/2024/0051,vehicle_theft,true,high
KA-02-KA-9786,KAR/HUB/2024/0053,vehicle_theft,true,high
KA-45-KA-7457,KAR/BEL/2024/0057,vehicle_theft,true,high
KA-09-KB-5838,KAR/HUB/2024/0062,chain_snatching,false,high
KA-02-M-6653,KAR/KAL/2024/0064,vehicle_theft,true,high
KA-25-N-3003,KAR/HUB/2024/0065,vehicle_theft,true,high
KA-34-N-9760,KAR/DAV/2024/0069,vehicle_theft,true,high
KA-01-M-7900,KAR/KOL/2024/0070,vehicle_theft,false,high
KA-15-M-3168,KAR/BEL/2024/0071,chain_snatching,true,medium
KA-11-KA-2099,KAR/BEN/2024/0076,vehicle_theft,true,medium
KA-26-KB-8314,KAR/CHI/2024/0077,vehicle_theft,true,medium
KA-07-P-1001,KAR/TUM/2024/0083,vehicle_theft,true,medium
KA-12-KB-4645,KAR/BID/2024/0085,vehicle_theft,true,medium
KA-43-A-4145,KAR/HUB/2024/0087,chain_snatching,false,medium
KA-36-A-8700,KAR/CHI/2024/0088,vehicle_theft,true,medium
KA-46-B-9613,KAR/BEN/2024/0089,vehicle_theft,true,medium
KA-28-A-3170,KAR/RAI/2024/0093,robbery,false,medium
KA-15-KB-4603,KAR/MAN/2024/0096,vehicle_theft,true,medium
KA-23-A-2556,KAR/BEN/2024/0097,vehicle_theft,true,medium
KA-45-N-9426,KAR/BEN/2024/0098,robbery,true,medium
KA-29-A-1335,KAR/BEN/2024/0099,vehicle_theft,true,medium
KA-41-N-9547,KAR/BEL/2024/0100,vehicle_theft,true,medium
KA-25-P-4566,KAR/BEN/2024/0101,vehicle_theft,true,medium
KA-43-N-6712,KAR/KOP/2024/0103,vehicle_theft,false,medium
KA-04-KA-6773,KAR/SHI/2024/0106,vehicle_theft,true,medium
KA-13-M-9347,KAR/BEN/2024/0107,robbery,false,medium
KA-34-KB-9654,KAR/KAL/2024/0108,vehicle_theft,true,medium
KA-03-A-8572,KAR/BID/2024/0110,vehicle_theft,false,medium
KA-01-N-3320,KAR/SHI/2024/0111,chain_snatching,true,medium
KA-18-KB-1163,KAR/BEN/2024/0113,chain_snatching,true,medium
KA-42-P-2653,KAR/BEN/2024/0116,vehicle_theft,true,medium
KA-54-KB-3269,KAR/RAI/2024/0117,vehicle_theft,true,medium
KA-49-KA-7290,KAR/KAL/2024/0119,robbery,false,medium
KA-55-N-3449,KAR/HAS/2024/0120,chain_snatching,true,medium
KA-24-N-8637,KAR/BEL/2024/0121,vehicle_theft,true,medium
KA-21-M-8708,KAR/RAI/2024/0123,vehicle_theft,true,medium
KA-07-P-2346,KAR/BEN/2024/0127,vehicle_theft,true,medium
KA-24-KA-6979,KAR/BEN/2024/0130,chain_snatching,true,medium
KA-33-KB-9017,KAR/KAL/2024/0131,vehicle_theft,true,medium
KA-15-KA-8547,KAR/BEN/2024/0132,chain_snatching,true,medium
KA-32-KA-6839,KAR/UDU/2024/0134,vehicle_theft,true,medium
KA-35-P-4487,KAR/BEN/2024/0136,chain_snatching,true,medium
KA-34-A-7379,KAR/BEN/2024/0140,vehicle_theft,true,medium
KA-08-A-9757,KAR/BEL/2024/0141,vehicle_theft,true,medium
KA-37-KA-9327,KAR/KOL/2024/0146,chain_snatching,false,medium
KA-23-KA-5656,KAR/MAN/2024/0147,vehicle_theft,true,medium
KA-08-A-6865,KAR/DAV/2024/0150,vehicle_theft,true,medium
KA-51-KB-5652,KAR/BEN/2024/0151,chain_snatching,true,medium
KA-22-M-1675,KAR/MAN/2024/0153,vehicle_theft,true,medium
KA-38-P-3543,KAR/MAN/2024/0155,vehicle_theft,true,medium
KA-16-N-2382,KAR/KAL/2024/0156,vehicle_theft,true,medium
KA-14-KA-3405,KAR/SHI/2024/0173,robbery,true,medium
KA-14-KB-1892,KAR/KOL/2024/0178,chain_snatching,false,medium
KA-10-N-4037,KAR/BEN/2024/0179,robbery,true,medium
KA-48-KA-3318,KAR/KOL/2024/0180,vehicle_theft,false,medium
KA-20-N-2771,KAR/KAL/2024/0181,vehicle_theft,true,medium
KA-43-P-6576,KAR/KOP/2024/0186,vehicle_theft,true,medium
KA-32-M-5901,KAR/BEN/2024/0189,robbery,false,medium
KA-43-A-1213,KAR/MAN/2024/0190,robbery,true,medium
KA-44-A-5830,KAR/KAL/2024/0192,robbery,true,medium
KA-10-P-8154,KAR/RAI/2024/0195,vehicle_theft,true,medium
KA-25-A-6216,KAR/BEN/2024/0197,vehicle_theft,true,medium
KA-14-KB-3920,KAR/KOL/2024/0198,vehicle_theft,true,medium
KA-39-KB-8793,KAR/BEN/2024/0202,vehicle_theft,true,medium
KA-24-B-3358,KAR/BEN/2024/0206,vehicle_theft,true,medium
KA-08-KA-5007,KAR/SHI/2024/0207,vehicle_theft,true,medium
KA-35-KB-4328,KAR/TUM/2024/0209,robbery,false,medium
KA-30-N-6005,KAR/BEL/2024/0210,chain_snatching,true,medium
KA-42-A-6620,KAR/SHI/2024/0211,vehicle_theft,true,medium
KA-04-A-9066,KAR/BEN/2024/0216,vehicle_theft,true,medium
KA-10-N-2530,KAR/HAS/2024/0217,vehicle_theft,false,medium
KA-01-P-8343,KAR/BID/2024/0219,chain_snatching,true,medium
KA-42-KA-4880,KAR/BEN/2024/0222,vehicle_theft,true,medium
KA-41-N-7677,KAR/RAI/2024/0233,vehicle_theft,true,medium
KA-49-A-1691,KAR/BEN/2024/0236,vehicle_theft,true,medium
KA-20-N-9344,KAR/HAS/2024/0238,chain_snatching,true,medium
KA-40-M-3235,KAR/HUB/2024/0241,robbery,true,medium
KA-14-KB-2161,KAR/BAL/2024/0242,robbery,true,medium
KA-49-KA-3980,KAR/MAN/2024/0243,vehicle_theft,true,medium
KA-32-A-6207,KAR/BEN/2024/0248,chain_snatching,true,medium
KA-53-M-2248,KAR/RAI/2024/0249,vehicle_theft,true,medium
KA-41-P-1296,KAR/MAN/2024/0250,vehicle_theft,true,medium
KA-15-N-3077,KAR/BEN/2024/0254,vehicle_theft,false,medium
KA-33-N-5575,KAR/BEN/2024/0255,vehicle_theft,true,medium
