external_id,name,type,lat,lng,district_name,junction_name,has_anpr,has_face_recog,is_active,coverage_radius_m
MC-P-0044,MCCTNS Camera BTM Layout 44,MCCTNS_Private,12.916131,77.609266,South Bengaluru,BTM Layout,false,false,false,20
MC-P-0081,MCCTNS Camera Rajajinagar 81,MCCTNS_Private,12.995411,77.548107,Bengaluru Urban,,false,false,true,20
MC-R-0017,MCCTNS Camera BTM Layout 17,MCCTNS_RWA,12.922685,77.605975,South Bengaluru,,false,false,true,20
MC-R-0200,MCCTNS Camera Malleshwaram 200,MCCTNS_RWA,12.99951,77.568363,Central Bengaluru,Malleshwaram,false,false,true,20
MC-P-0627,MCCTNS Camera Banashankari 627,MCCTNS_Private,12.920007,77.549774,South Bengaluru,,false,false,true,20
BATCS-0049,Traffic Signal Camera 49,BATCS,13.00427,77.553683,North Bengaluru,Rajajinagar,true,false,true,80
MC-C-0216,MCCTNS Camera Rajajinagar 216,MCCTNS_Commercial,12.998706,77.558066,Central Bengaluru,Rajajinagar,false,false,true,20
MC-P-0285,MCCTNS Camera JP Nagar 285,MCCTNS_Private,12.912615,77.583581,South Bengaluru,JP Nagar,false,false,true,20
SC-0159,Safe City Camera 159,Safe_City,13.037942,77.52234,North Bengaluru,,true,true,true,50
MC-P-0093,MCCTNS Camera JP Nagar 93,MCCTNS_Private,12.918255,77.590498,South Bengaluru,,false,false,true,20
SC-0138,Safe City Camera 138,Safe_City,13.00383,77.549935,North Bengaluru,,true,true,true,50
BATCS-0117,Traffic Signal Camera 117,BATCS,12.916386,77.615211,South Bengaluru,BTM Layout,true,false,true,80
BATCS-0007,Traffic Signal Camera 7,BATCS,12.924011,77.651787,South Bengaluru,,true,false,true,80
MC-P-0182,MCCTNS Camera Manyata Tech Park 182,MCCTNS_Private,13.042083,77.606336,North Bengaluru,,false,false,true,20
BATCS-0023,Traffic Signal Camera 23,BATCS,12.923609,77.573693,South Bengaluru,,true,false,true,80
MC-P-0156,MCCTNS Camera Electronic City 156,MCCTNS_Private,12.85,77.676494,Bengaluru Urban,,false,false,true,20
MC-P-0404,MCCTNS Camera Whitefield 404,MCCTNS_Private,12.963811,77.7,East Bengaluru,Marathahalli Bridge,false,false,true,20
MC-R-0249,MCCTNS Camera Jayanagar 249,MCCTNS_RWA,12.92739,77.590926,South Bengaluru,Jayanagar,false,false,true,20
MC-P-0425,MCCTNS Camera Electronic City 425,MCCTNS_Private,12.85,77.664677,Bengaluru Urban,,false,false,true,20
MC-P-0149,MCCTNS Camera Whitefield 149,MCCTNS_Private,12.97909,77.7,Bengaluru Urban,,false,false,true,20
MC-P-0530,MCCTNS Camera Banashankari 530,MCCTNS_Private,12.916133,77.543242,South Bengaluru,,false,false,true,20
MC-P-0127,MCCTNS Camera JP Nagar 127,MCCTNS_Private,12.914183,77.587905,South Bengaluru,JP Nagar,false,false,true,20
BATCS-0173,Traffic Signal Camera 173,BATCS,12.894303,77.636654,Bengaluru Urban,,true,false,true,80
MC-P-0062,MCCTNS Camera Whitefield 62,MCCTNS_Private,12.953865,77.7,East Bengaluru,Marathahalli Bridge,false,false,true,20
MC-P-0494,MCCTNS Camera BTM Layout 494,MCCTNS_Private,12.918227,77.609887,South Bengaluru,BTM Layout,false,false,true,20
SC-0003,Safe City Camera 3,Safe_City,12.90589,77.595152,South Bengaluru,,true,true,true,50
