name,division,population,urban_population_pct,area_sqkm,lat_center,lng_center
Bengaluru Urban,Bengaluru,9621551,90.9,2196,12.9716,77.5946
Bengaluru Rural,Bengaluru,990923,27.1,2298,13.2257,77.575
Mysuru,Southern,3001127,41.5,6854,12.2958,76.6394
Mangaluru (Dakshina Kannada),Western,2089649,47.7,4560,12.9141,74.856
Hubballi-Dharwad,Northern,1847023,56.8,4263,15.3647,75.124
Belagavi,Northern,4779661,25.3,13415,15.8497,74.4977
Kalaburagi,North-Eastern,2566326,32.6,10951,17.3297,76.8343
Ballari,Central,2452595,37.5,8447,15.1394,76.9214
Shivamogga,Central,1752753,35.6,8477,13.9299,75.5681
Tumakuru,Bengaluru,2678980,22.4,10597,13.3392,77.1017
Davangere,Central,1945497,32.3,5924,14.4644,75.9218
Hassan,Southern,1776421,21.2,6814,13.0033,76.1004
Vijayapura,Northern,2177331,23.1,10475,16.8302,75.71
Raichur,North-Eastern,1928812,25.4,8432,16.2076,77.3463
Udupi,Western,1177361,28.4,3880,13.3409,74.7421
Kolar,Bengaluru,1536401,31.2,3969,13.1367,78.1291
Mandya,Southern,1805769,17.1,4961,12.5218,76.8951
Chikkamagaluru,Western,1137961,21.0,7201,13.3161,75.772
Bidar,North-Eastern,1703300,25.0,5448,17.9104,77.5199
Koppal,North-Eastern,1389920,16.8,7189,15.3518,76.1554
