case_number,date_filed,time_filed,crime_type_code,description,status,district_name,police_station,location_name,location_lat,location_lng,investigation_office,year_filed,month_filed,hour_of_crime
KAR/UDU/2024/0001,2024-08-07,18:55:00,chain_snatching,"Reported incident of chain snatching at Near Chowdhury Street, Udupi. Suspect vehicle noticed with plate KA-17-M-1433.",open,Udupi,Udupi Industrial PS,"Near Chowdhury Street, Udupi",13.3097,74.7319,Insp. Amrita Prakash,2024,8,18
KAR/BEN/2024/0002,2024-02-26,07:06:00,chain_snatching,"Reported incident of chain snatching at Near Zacharia Road, Bengaluru Urban. Suspect vehicle noticed with plate KA-10-M-8588.",chargesheeted,Bengaluru Urban,Bengaluru Urban North PS,"Near Zacharia Road, Bengaluru Urban",13.0344,77.5669,Insp. Yadavi Mammen,2024,2,7
KAR/SHI/2024/0003,2025-02-27,04:43:00,robbery,"Reported incident of robbery at Near Dash Path, Shivamogga. Suspect vehicle noticed with plate KA-24-P-7051.",under_investigation,Shivamogga,Shivamogga Suburban PS,"Near Dash Path, Shivamogga",13.931,75.6641,Insp. Veer Divan,2025,2,4
KAR/MAN/2024/0004,2024-08-28,08:00:00,assault,"Reported incident of assault at Near Tiwari Nagar, Mandya.",open,Mandya,Mandya Market PS,"Near Tiwari Nagar, Mandya",12.5856,76.8152,Insp. Umang Johal,2024,8,8
KAR/BEN/2024/0005,2025-01-07,10:24:00,cybercrime,"Reported incident of cybercrime at Near Sant Zila, Bengaluru Rural.",open,Bengaluru Rural,Bengaluru Rural West PS,"Near Sant Zila, Bengaluru Rural",13.3073,77.6245,Insp. Amaira Om,2025,1,10
KAR/MAN/2024/0006,2024-12-24,06:03:00,vehicle_theft,"Reported incident of vehicle theft at Near Ramaswamy Chowk, Mangaluru (Dakshina Kannada). Suspect vehicle noticed with plate KA-05-P-9869.",open,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Market PS,"Near Ramaswamy Chowk, Mangaluru (Dakshina Kannada)",12.8928,74.8664,Insp. Aarav Gandhi,2024,12,6
KAR/SHI/2024/0007,2025-04-11,05:54:00,hit_and_run,"Reported incident of hit and run at Near Narang Marg, Shivamogga.",open,Shivamogga,Shivamogga Traffic PS,"Near Narang Marg, Shivamogga",14.013,75.5885,Insp. Rishi Kakar,2025,4,5
KAR/BEN/2024/0008,2024-08-25,08:28:00,fraud,"Reported incident of fraud at Near Nair Path, Bengaluru Urban.",chargesheeted,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Nair Path, Bengaluru Urban",12.965,77.5836,Insp. Hemani Mody,2024,8,8
KAR/BEN/2024/0009,2024-10-17,17:13:00,vehicle_theft,"Reported incident of vehicle theft at Near Prasad Road, Bengaluru Urban. Suspect vehicle noticed with plate KA-07-KB-3147.",under_investigation,Bengaluru Urban,Bengaluru Urban Central PS,"Near Prasad Road, Bengaluru Urban",13.0112,77.6344,Insp. Charita Lad,2024,10,17
KAR/BEN/2024/0010,2024-09-27,05:16:00,vehicle_theft,"Reported incident of vehicle theft at Near Chokshi Path, Bengaluru Urban. Suspect vehicle noticed with plate KA-14-KB-2149.",open,Bengaluru Urban,Bengaluru Urban South PS,"Near Chokshi Path, Bengaluru Urban",13.0194,77.5411,Insp. Logan Edwin,2024,9,5
KAR/TUM/2024/0011,2024-11-12,23:41:00,chain_snatching,"Reported incident of chain snatching at Near Mall Chowk, Tumakuru. Suspect vehicle noticed with plate KA-36-A-5734.",under_investigation,Tumakuru,Tumakuru Industrial PS,"Near Mall Chowk, Tumakuru",13.3873,77.0165,Insp. Shivansh Dass,2024,11,23
KAR/BEN/2024/0012,2024-06-27,09:29:00,chain_snatching,"Reported incident of chain snatching at Near Kothari Marg, Bengaluru Urban. Suspect vehicle noticed with plate KA-49-KB-6921.",chargesheeted,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Kothari Marg, Bengaluru Urban",12.9675,77.5996,Insp. Damini Goda,2024,6,9
KAR/TUM/2024/0013,2024-07-02,04:43:00,fraud,"Reported incident of fraud at Near Mishra Nagar, Tumakuru.",under_investigation,Tumakuru,Tumakuru Market PS,"Near Mishra Nagar, Tumakuru",13.3103,77.0773,Insp. Ira Vora,2024,7,4
KAR/BEN/2024/0014,2025-04-04,05:30:00,vehicle_theft,"Reported incident of vehicle theft at Near Edwin Zila, Bengaluru Urban. Suspect vehicle noticed with plate KA-33-B-9104.",open,Bengaluru Urban,Bengaluru Urban East PS,"Near Edwin Zila, Bengaluru Urban",13.0142,77.5472,Insp. Daniel Pal,2025,4,5
KAR/BEN/2024/0015,2025-04-15,22:10:00,eve_teasing,"Reported incident of eve teasing at Near Biswas Ganj, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Central PS,"Near Biswas Ganj, Bengaluru Urban",12.998,77.634,Insp. Rachita Ramaswamy,2025,4,22
KAR/BEN/2024/0016,2024-03-08,17:27:00,drug_offence,"Reported incident of drug offence at Near Kar, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Kar, Bengaluru Urban",12.9075,77.5414,Insp. Hemang Sood,2024,3,17
KAR/UDU/2024/0017,2024-08-10,16:37:00,eve_teasing,"Reported incident of eve teasing at Near Bath Nagar, Udupi.",open,Udupi,Udupi Rural PS,"Near Bath Nagar, Udupi",13.3931,74.6558,Insp. Indali Ramanathan,2024,8,16
KAR/MAN/2024/0018,2024-10-17,14:35:00,burglary,"Reported incident of burglary at Near Ganesan Nagar, Mangaluru (Dakshina Kannada).",chargesheeted,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Town PS,"Near Ganesan Nagar, Mangaluru (Dakshina Kannada)",12.834,74.8312,Insp. Anjali Raju,2024,10,14
KAR/BEL/2024/0019,2025-01-29,17:40:00,chain_snatching,"Reported incident of chain snatching at Near Kant Marg, Belagavi. Suspect vehicle noticed with plate KA-10-M-7769.",open,Belagavi,Belagavi Industrial PS,"Near Kant Marg, Belagavi",15.7965,74.5442,Insp. Abeer Padmanabhan,2025,1,17
KAR/BEN/2024/0020,2025-01-31,06:12:00,vehicle_theft,"Reported incident of vehicle theft at Near Dugar Circle, Bengaluru Urban. Suspect vehicle noticed with plate KA-17-KA-7627.",under_investigation,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Dugar Circle, Bengaluru Urban",12.9761,77.5631,Insp. Xavier Cherian,2025,1,6
KAR/VIJ/2024/0021,2024-09-01,11:50:00,hit_and_run,"Reported incident of hit and run at Near Memon Path, Vijayapura.",open,Vijayapura,Vijayapura Industrial PS,"Near Memon Path, Vijayapura",16.8483,75.6414,Insp. Onveer Modi,2024,9,11
KAR/BEN/2024/0022,2024-05-05,15:42:00,eve_teasing,"Reported incident of eve teasing at Near Majumdar Nagar, Bengaluru Urban.",chargesheeted,Bengaluru Urban,Bengaluru Urban Central PS,"Near Majumdar Nagar, Bengaluru Urban",12.993,77.6154,Insp. Rajata Pathak,2024,5,15
KAR/KOL/2024/0023,2024-09-03,20:11:00,drug_offence,"Reported incident of drug offence at Near Rama Path, Kolar.",under_investigation,Kolar,Kolar Industrial PS,"Near Rama Path, Kolar",13.1765,78.0418,Insp. Utkarsh Viswanathan,2024,9,20
KAR/MAN/2024/0024,2024-11-14,01:25:00,vehicle_theft,"Reported incident of vehicle theft at Near Viswanathan Path, Mandya. Suspect vehicle noticed with plate KA-10-KB-9389.",open,Mandya,Mandya Rural PS,"Near Viswanathan Path, Mandya",12.5198,76.9189,Insp. Balhaar Nadkarni,2024,11,1
KAR/BEN/2024/0025,2024-10-11,21:44:00,vehicle_theft,"Reported incident of vehicle theft at Near Magar Path, Bengaluru Urban. Suspect vehicle noticed with plate KA-36-KA-2612.",chargesheeted,Bengaluru Urban,Bengaluru Urban West PS,"Near Magar Path, Bengaluru Urban",12.9109,77.5424,Insp. Hredhaan Bahl,2024,10,21
KAR/BEN/2024/0026,2024-12-18,00:40:00,vehicle_theft,"Reported incident of vehicle theft at Near Kala, Bengaluru Rural. Suspect vehicle noticed with plate KA-04-A-2738.",chargesheeted,Bengaluru Rural,Bengaluru Rural South PS,"Near Kala, Bengaluru Rural",13.1924,77.5837,Insp. Eta Sinha,2024,12,0
KAR/TUM/2024/0027,2024-02-27,02:27:00,kidnapping,"Reported incident of kidnapping at Near Bhalla Zila, Tumakuru.",open,Tumakuru,Tumakuru Traffic PS,"Near Bhalla Zila, Tumakuru",13.2874,77.0881,Insp. Oviya Upadhyay,2024,2,2
KAR/BEN/2024/0028,2024-01-10,13:09:00,chain_snatching,"Reported incident of chain snatching at Near Uppal Street, Bengaluru Urban. Suspect vehicle noticed with plate KA-46-KB-9515.",chargesheeted,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Uppal Street, Bengaluru Urban",12.9725,77.5744,Insp. Manbir Rout,2024,1,13
KAR/BEN/2024/0029,2024-01-16,16:15:00,cybercrime,"Reported incident of cybercrime at Near Chatterjee Path, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Central PS,"Near Chatterjee Path, Bengaluru Urban",12.9689,77.6307,Insp. Nidhi Parekh,2024,1,16
KAR/BEN/2024/0030,2024-10-30,16:23:00,eve_teasing,"Reported incident of eve teasing at Near Iyer Circle, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Iyer Circle, Bengaluru Urban",12.9727,77.5941,Insp. Bhavna Pandya,2024,10,16
KAR/CHI/2024/0031,2024-05-09,16:31:00,chain_snatching,"Reported incident of chain snatching at Near Jha Path, Chikkamagaluru. Suspect vehicle noticed with plate KA-46-A-1701.",closed,Chikkamagaluru,Chikkamagaluru Industrial PS,"Near Jha Path, Chikkamagaluru",13.3489,75.7754,Insp. Zehaan Kaul,2024,5,16
KAR/RAI/2024/0032,2024-03-03,22:17:00,cybercrime,"Reported incident of cybercrime at Near Bala Street, Raichur.",chargesheeted,Raichur,Raichur Suburban PS,"Near Bala Street, Raichur",16.2284,77.4003,Insp. Girik Kaul,2024,3,22
KAR/KOL/2024/0033,2024-10-05,23:02:00,assault,"Reported incident of assault at Near Nath Circle, Kolar.",under_investigation,Kolar,Kolar Suburban PS,"Near Nath Circle, Kolar",13.1104,78.1575,Insp. Utkarsh Sachar,2024,10,23
KAR/MAN/2024/0034,2025-02-19,13:30:00,hit_and_run,"Reported incident of hit and run at Near Char, Mangaluru (Dakshina Kannada).",open,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Traffic PS,"Near Char, Mangaluru (Dakshina Kannada)",12.8698,74.8541,Insp. Samar Kumar,2025,2,13
KAR/SHI/2024/0035,2024-10-26,20:58:00,kidnapping,"Reported incident of kidnapping at Near Srinivas Chowk, Shivamogga.",open,Shivamogga,Shivamogga Rural PS,"Near Srinivas Chowk, Shivamogga",14.0083,75.489,Insp. Meghana Guha,2024,10,20
KAR/MYS/2024/0036,2024-06-14,22:03:00,robbery,"Reported incident of robbery at Near Bala Marg, Mysuru. Suspect vehicle noticed with plate KA-50-KB-8429.",under_investigation,Mysuru,Mysuru West PS,"Near Bala Marg, Mysuru",12.3563,76.5949,Insp. Mason Shukla,2024,6,22
KAR/BAL/2024/0037,2024-07-14,13:27:00,vehicle_theft,"Reported incident of vehicle theft at Near Babu Ganj, Ballari. Suspect vehicle noticed with plate KA-22-KA-9944.",open,Ballari,Ballari Traffic PS,"Near Babu Ganj, Ballari",15.0859,76.9214,Insp. Jasmit Deshmukh,2024,7,13
