name,district_name,division,address,lat,lng
Bengaluru Urban Central PS,Bengaluru Urban,Bengaluru,"Central Road, Bengaluru Urban, Karnataka",12.9906,77.6339
Bengaluru Urban North PS,Bengaluru Urban,Bengaluru,"North Road, Bengaluru Urban, Karnataka",13.0078,77.5837
Bengaluru Urban South PS,Bengaluru Urban,Bengaluru,"South Road, Bengaluru Urban, Karnataka",13.007,77.5701
Bengaluru Urban East PS,Bengaluru Urban,Bengaluru,"East Road, Bengaluru Urban, Karnataka",13.0093,77.5458
Bengaluru Urban West PS,Bengaluru Urban,Bengaluru,"West Road, Bengaluru Urban, Karnataka",12.8952,77.5695
Bengaluru Urban Traffic PS,Bengaluru Urban,Bengaluru,"Traffic Road, Bengaluru Urban, Karnataka",12.9882,77.5718
Bengaluru Rural Central PS,Bengaluru Rural,Bengaluru,"Central Road, Bengaluru Rural, Karnataka",13.2255,77.5079
Bengaluru Rural North PS,Bengaluru Rural,Bengaluru,"North Road, Bengaluru Rural, Karnataka",13.2698,77.5593
Bengaluru Rural South PS,Bengaluru Rural,Bengaluru,"South Road, Bengaluru Rural, Karnataka",13.1844,77.6003
Bengaluru Rural East PS,Bengaluru Rural,Bengaluru,"East Road, Bengaluru Rural, Karnataka",13.2739,77.5517
Bengaluru Rural West PS,Bengaluru Rural,Bengaluru,"West Road, Bengaluru Rural, Karnataka",13.2849,77.6523
Bengaluru Rural Traffic PS,Bengaluru Rural,Bengaluru,"Traffic Road, Bengaluru Rural, Karnataka",13.1764,77.5859
Mysuru Central PS,Mysuru,Southern,"Central Road, Mysuru, Karnataka",12.2856,76.6094
Mysuru North PS,Mysuru,Southern,"North Road, Mysuru, Karnataka",12.3644,76.6871
Mysuru South PS,Mysuru,Southern,"South Road, Mysuru, Karnataka",12.3446,76.6026
Mysuru East PS,Mysuru,Southern,"East Road, Mysuru, Karnataka",12.2556,76.7184
Mysuru West PS,Mysuru,Southern,"West Road, Mysuru, Karnataka",12.3397,76.5701
Mysuru Traffic PS,Mysuru,Southern,"Traffic Road, Mysuru, Karnataka",12.3462,76.5743
Mangaluru (Dakshina Kannada) Town PS,Mangaluru (Dakshina Kannada),Western,"Town Road, Mangaluru (Dakshina Kannada), Karnataka",12.8408,74.8459
Mangaluru (Dakshina Kannada) Rural PS,Mangaluru (Dakshina Kannada),Western,"Rural Road, Mangaluru (Dakshina Kannada), Karnataka",12.8485,74.8772
Mangaluru (Dakshina Kannada) Suburban PS,Mangaluru (Dakshina Kannada),Western,"Suburban Road, Mangaluru (Dakshina Kannada), Karnataka",12.9859,74.8659
Mangaluru (Dakshina Kannada) Traffic PS,Mangaluru (Dakshina Kannada),Western,"Traffic Road, Mangaluru (Dakshina Kannada), Karnataka",12.852,74.8833
Mangaluru (Dakshina Kannada) Market PS,Mangaluru (Dakshina Kannada),Western,"Market Road, Mangaluru (Dakshina Kannada), Karnataka",12.889,74.8404
Mangaluru (Dakshina Kannada) Industrial PS,Mangaluru (Dakshina Kannada),Western,"Industrial Road, Mangaluru (Dakshina Kannada), Karnataka",12.9493,74.8596
Hubballi-Dharwad Town PS,Hubballi-Dharwad,Northern,"Town Road, Hubballi-Dharwad, Karnataka",15.2979,75.2022
Hubballi-Dharwad Rural PS,Hubballi-Dharwad,Northern,"Rural Road, Hubballi-Dharwad, Karnataka",15.3586,75.1279
Hubballi-Dharwad Suburban PS,Hubballi-Dharwad,Northern,"Suburban Road, Hubballi-Dharwad, Karnataka",15.3054,75.1055
Hubballi-Dharwad Traffic PS,Hubballi-Dharwad,Northern,"Traffic Road, Hubballi-Dharwad, Karnataka",15.3057,75.1757
Hubballi-Dharwad Market PS,Hubballi-Dharwad,Northern,"Market Road, Hubballi-Dharwad, Karnataka",15.3278,75.1005
Hubballi-Dharwad Industrial PS,Hubballi-Dharwad,Northern,"Industrial Road, Hubballi-Dharwad, Karnataka",15.3306,75.086
Belagavi Town PS,Belagavi,Northern,"Town Road, Belagavi, Karnataka",15.826,74.5315
