AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Unknown Suspect,34,1,A1
2,2,Unknown Suspect,43,1,A1
3,3,Unknown Suspect,26,1,A1
4,4,Unknown Suspect,33,1,A1
5,5,Unknown Suspect,37,1,A1
6,6,Unknown Suspect,39,1,A1
7,7,Unknown Suspect,22,1,A1
8,8,Unknown Suspect,37,1,A1
9,9,Unknown Suspect,44,1,A1
10,10,Unknown Suspect,23,1,A1
11,11,Unknown Suspect,36,1,A1
12,12,Unknown Suspect,23,1,A1
13,13,Unknown Suspect,24,1,A1
14,14,Unknown Suspect,42,1,A1
15,15,Unknown Suspect,34,1,A1
16,16,Unknown Suspect,28,1,A1
17,17,Unknown Suspect,31,1,A1
18,18,Unknown Suspect,35,1,A1
19,19,Unknown Suspect,25,1,A1
20,20,Unknown Suspect,28,1,A1
21,21,Unknown Suspect,29,1,A1
22,22,Unknown Suspect,29,1,A1
23,23,Unknown Suspect,29,1,A1
24,24,Unknown Suspect,23,1,A1
25,25,Unknown Suspect,41,1,A1
26,26,Unknown Suspect,37,1,A1
27,27,Unknown Suspect,38,1,A1
28,28,Unknown Suspect,41,1,A1
29,29,Unknown Suspect,22,1,A1
30,30,Unknown Suspect,22,1,A1
31,31,Unknown Suspect,34,1,A1
32,32,Unknown Suspect,30,1,A1
33,33,Unknown Suspect,34,1,A1
34,34,Unknown Suspect,41,1,A1
35,35,Unknown Suspect,38,1,A1
36,36,Unknown Suspect,38,1,A1
37,37,Unknown Suspect,30,1,A1
38,38,Unknown Suspect,27,1,A1
39,39,Unknown Suspect,23,1,A1
40,40,Unknown Suspect,29,1,A1
41,41,Unknown Suspect,43,1,A1
42,42,Unknown Suspect,23,1,A1
43,43,Unknown Suspect,23,1,A1
44,44,Unknown Suspect,42,1,A1
45,45,Unknown Suspect,27,1,A1
46,46,Unknown Suspect,42,1,A1
47,47,Unknown Suspect,27,1,A1
48,48,Unknown Suspect,31,1,A1
49,49,Unknown Suspect,43,1,A1
50,50,Unknown Suspect,42,1,A1
51,51,Unknown Suspect,25,1,A1
52,52,Unknown Suspect,24,1,A1
53,53,Unknown Suspect,30,1,A1
54,54,Unknown Suspect,24,1,A1
55,55,Unknown Suspect,41,1,A1
56,56,Unknown Suspect,23,1,A1
57,57,Unknown Suspect,31,1,A1
58,58,Unknown Suspect,30,1,A1
59,59,Unknown Suspect,33,1,A1
60,60,Unknown Suspect,24,1,A1
61,61,Unknown Suspect,26,1,A1
62,62,Unknown Suspect,29,1,A1
63,63,Unknown Suspect,42,1,A1
64,64,Unknown Suspect,37,1,A1
65,65,Unknown Suspect,32,1,A1
66,66,Unknown Suspect,34,1,A1
67,67,Unknown Suspect,41,1,A1
68,68,Unknown Suspect,43,1,A1
69,69,Unknown Suspect,26,1,A1
70,70,Unknown Suspect,38,1,A1
71,71,Unknown Suspect,43,1,A1
72,72,Unknown Suspect,30,1,A1
73,73,Unknown Suspect,22,1,A1
74,74,Unknown Suspect,37,1,A1
75,75,Unknown Suspect,29,1,A1
76,76,Unknown Suspect,28,1,A1
77,77,Unknown Suspect,25,1,A1
78,78,Unknown Suspect,44,1,A1
79,79,Unknown Suspect,41,1,A1
80,80,Unknown Suspect,44,1,A1
81,81,Unknown Suspect,22,1,A1
82,82,Unknown Suspect,29,1,A1
83,83,Unknown Suspect,29,1,A1
84,84,Unknown Suspect,22,1,A1
85,85,Unknown Suspect,30,1,A1
86,86,Unknown Suspect,25,1,A1
87,87,Unknown Suspect,41,1,A1
88,88,Unknown Suspect,34,1,A1
89,89,Unknown Suspect,26,1,A1
90,90,Unknown Suspect,43,1,A1
91,91,Unknown Suspect,41,1,A1
92,92,Unknown Suspect,29,1,A1
