CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,379,1,1
2,IPC,379,1,1
3,IPC,392,1,1
4,IPC,307,1,1
5,IPC,379,1,1
6,IPC,379,1,1
7,IPC,379,1,1
8,IPC,379,1,1
9,IPC,379,1,1
10,IPC,379,1,1
11,IPC,379,1,1
12,IPC,379,1,1
13,IPC,379,1,1
14,IPC,379,1,1
15,IPC,379,1,1
16,IPC,379,1,1
17,IPC,379,1,1
18,IPC,379,1,1
19,IPC,379,1,1
20,IPC,379,1,1
21,IPC,379,1,1
22,IPC,379,1,1
23,IPC,379,1,1
24,IPC,379,1,1
25,IPC,379,1,1
26,IPC,379,1,1
27,IPC,379,1,1
28,IPC,379,1,1
29,IPC,379,1,1
30,IPC,379,1,1
31,IPC,379,1,1
32,IPC,379,1,1
33,IPC,307,1,1
34,IPC,379,1,1
35,IPC,379,1,1
36,IPC,392,1,1
37,IPC,379,1,1
38,IPC,379,1,1
39,IPC,379,1,1
40,IPC,307,1,1
41,IPC,379,1,1
42,IPC,379,1,1
43,IPC,379,1,1
44,IPC,392,1,1
45,IPC,379,1,1
46,IPC,379,1,1
47,IPC,307,1,1
48,IPC,307,1,1
49,IPC,392,1,1
50,IPC,379,1,1
51,IPC,379,1,1
52,IPC,379,1,1
53,IPC,379,1,1
54,IPC,307,1,1
55,IPC,379,1,1
56,IPC,379,1,1
57,IPC,379,1,1
58,IPC,379,1,1
59,IPC,379,1,1
60,IPC,379,1,1
61,IPC,307,1,1
62,IPC,379,1,1
63,IPC,379,1,1
64,IPC,379,1,1
65,IPC,379,1,1
66,IPC,379,1,1
67,IPC,379,1,1
68,IPC,307,1,1
69,IPC,379,1,1
70,IPC,379,1,1
71,IPC,379,1,1
72,IPC,379,1,1
73,IPC,379,1,1
74,IPC,379,1,1
75,IPC,379,1,1
76,IPC,379,1,1
77,IPC,379,1,1
78,IPC,379,1,1
79,IPC,379,1,1
80,IPC,379,1,1
81,IPC,379,1,1
82,IPC,379,1,1
83,IPC,379,1,1
84,IPC,379,1,1
85,IPC,379,1,1
86,IPC,379,1,1
87,IPC,379,1,1
88,IPC,379,1,1
89,IPC,379,1,1
90,IPC,379,1,1
91,IPC,307,1,1
92,IPC,379,1,1
93,IPC,392,1,1
94,IPC,379,1,1
95,IPC,379,1,1
96,IPC,379,1,1
97,IPC,379,1,1
98,IPC,392,1,1
