CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,101020024202600001,202600001,2024-08-07,1003,24,1,2,1,3,1,3,2024-08-07 18:55:00,2024-08-07 18:55:00,2024-08-07 18:55:00,13.3097,74.7319,"Reported incident of chain snatching at Near Chowdhury Street, Udupi. Suspect vehicle noticed with plate KA-17-M-1433."
2,104430024202600002,202600002,2024-02-26,1001,24,1,2,1,3,2,1,2024-02-26 07:06:00,2024-02-26 07:06:00,2024-02-26 07:06:00,13.0344,77.5669,"Reported incident of chain snatching at Near Zacharia Road, Bengaluru Urban. Suspect vehicle noticed with plate KA-10-M-8588."
3,101020024202600003,202600003,2025-02-27,1004,24,1,1,1,2,1,3,2025-02-27 04:43:00,2025-02-27 04:43:00,2025-02-27 04:43:00,13.931,75.6641,"Reported incident of robbery at Near Dash Path, Shivamogga. Suspect vehicle noticed with plate KA-24-P-7051."
4,101020024202600004,202600004,2024-08-28,1002,24,1,1,2,4,1,3,2024-08-28 08:00:00,2024-08-28 08:00:00,2024-08-28 08:00:00,12.5856,76.8152,"Reported incident of assault at Near Tiwari Nagar, Mandya."
5,104430024202600005,202600005,2025-01-07,1003,24,1,2,1,1,1,1,2025-01-07 10:24:00,2025-01-07 10:24:00,2025-01-07 10:24:00,13.3073,77.6245,"Reported incident of cybercrime at Near Sant Zila, Bengaluru Rural."
6,101020024202600006,202600006,2024-12-24,1002,24,1,2,1,1,1,3,2024-12-24 06:03:00,2024-12-24 06:03:00,2024-12-24 06:03:00,12.8928,74.8664,"Reported incident of vehicle theft at Near Ramaswamy Chowk, Mangaluru (Dakshina Kannada). Suspect vehicle noticed with plate KA-05-P-9869."
7,101020024202600007,202600007,2025-04-11,1001,24,1,2,1,1,1,3,2025-04-11 05:54:00,2025-04-11 05:54:00,2025-04-11 05:54:00,14.013,75.5885,"Reported incident of hit and run at Near Narang Marg, Shivamogga."
8,104430024202600008,202600008,2024-08-25,1001,24,1,2,1,1,2,1,2024-08-25 08:28:00,2024-08-25 08:28:00,2024-08-25 08:28:00,12.965,77.5836,"Reported incident of fraud at Near Nair Path, Bengaluru Urban."
9,104430024202600009,202600009,2024-10-17,1003,24,1,2,1,1,1,1,2024-10-17 17:13:00,2024-10-17 17:13:00,2024-10-17 17:13:00,13.0112,77.6344,"Reported incident of vehicle theft at Near Prasad Road, Bengaluru Urban. Suspect vehicle noticed with plate KA-07-KB-3147."
10,104430024202600010,202600010,2024-09-27,1003,24,1,2,1,1,1,1,2024-09-27 05:16:00,2024-09-27 05:16:00,2024-09-27 05:16:00,13.0194,77.5411,"Reported incident of vehicle theft at Near Chokshi Path, Bengaluru Urban. Suspect vehicle noticed with plate KA-14-KB-2149."
