CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2024-08-07,C,1002
2,2,2024-02-26,A,1001
3,3,2025-02-27,C,1001
4,4,2024-08-28,C,1003
5,5,2025-01-07,C,1004
6,6,2024-12-24,C,1004
7,7,2025-04-11,C,1001
8,8,2024-08-25,A,1001
9,9,2024-10-17,C,1002
10,10,2024-09-27,C,1003
11,11,2024-11-12,C,1004
12,12,2024-06-27,A,1002
13,13,2024-07-02,C,1003
14,14,2025-04-04,C,1003
15,15,2025-04-15,C,1001
16,16,2024-03-08,C,1003
17,17,2024-08-10,C,1002
18,18,2024-10-17,A,1002
19,19,2025-01-29,C,1001
20,20,2025-01-31,C,1004
21,21,2024-09-01,C,1003
22,22,2024-05-05,A,1002
23,23,2024-09-03,C,1003
24,24,2024-11-14,C,1001
25,25,2024-10-11,A,1001
26,26,2024-12-18,A,1001
27,27,2024-02-27,C,1001
28,28,2024-01-10,A,1003
29,29,2024-01-16,C,1001
30,30,2024-10-30,C,1002
31,31,2024-05-09,B,1003
32,32,2024-03-03,A,1002
33,33,2024-10-05,C,1003
34,34,2025-02-19,C,1001
35,35,2024-10-26,C,1002
36,36,2024-06-14,C,1002
37,37,2024-07-14,C,1002
38,38,2024-07-06,A,1001
39,39,2024-02-04,C,1001
40,40,2024-02-16,C,1001
41,41,2024-07-29,C,1003
42,42,2025-04-27,C,1004
43,43,2025-02-04,C,1004
44,44,2024-02-11,C,1004
45,45,2025-03-12,C,1001
46,46,2025-02-09,C,1003
47,47,2025-04-12,C,1003
48,48,2024-08-21,B,1003
49,49,2024-10-24,C,1002
50,50,2025-03-16,C,1002
51,51,2024-09-27,C,1002
52,52,2024-12-26,A,1001
53,53,2024-11-05,A,1002
54,54,2025-04-30,B,1003
55,55,2024-04-27,C,1002
56,56,2024-02-13,C,1002
57,57,2024-10-29,C,1003
58,58,2024-05-17,C,1003
59,59,2025-01-29,C,1002
60,60,2024-04-25,C,1003
61,61,2024-09-07,C,1004
62,62,2024-10-17,B,1003
63,63,2024-06-29,B,1003
64,64,2024-06-22,C,1001
65,65,2025-01-28,A,1001
66,66,2025-04-08,C,1004
67,67,2024-01-29,C,1001
68,68,2025-03-19,C,1002
69,69,2024-12-10,A,1003
70,70,2024-10-19,C,1001
71,71,2024-01-03,C,1004
72,72,2024-10-30,A,1001
73,73,2025-02-20,C,1003
74,74,2024-04-11,C,1002
75,75,2024-09-06,C,1004
76,76,2024-12-06,A,1002
77,77,2024-08-18,C,1002
78,78,2024-10-23,A,1002
79,79,2024-03-07,C,1001
80,80,2024-04-24,C,1003
81,81,2024-10-16,A,1001
82,82,2024-11-23,C,1004
83,83,2025-03-10,C,1002
84,84,2024-09-02,C,1001
85,85,2024-11-12,C,1004
86,86,2024-05-03,C,1003
87,87,2024-11-17,C,1003
88,88,2025-03-08,C,1001
89,89,2024-11-27,C,1002
90,90,2024-10-01,C,1001
91,91,2024-02-24,A,1002
92,92,2024-11-06,C,1003
93,93,2024-12-17,C,1003
94,94,2024-03-05,C,1001
95,95,2025-05-07,B,1001
96,96,2024-12-15,C,1004
97,97,2025-04-18,A,1004
98,98,2025-04-13,A,1002
99,99,2024-07-04,A,1003
100,100,2024-11-18,A,1001
101,101,2024-02-13,B,1003
102,102,2025-02-18,C,1002
103,103,2024-04-22,C,1003
104,104,2024-02-07,A,1004
105,105,2024-08-20,C,1003
106,106,2025-05-07,C,1002
107,107,2024-10-02,C,1001
108,108,2024-09-17,C,1002
109,109,2025-03-26,C,1001
110,110,2024-08-01,C,1001
111,111,2024-12-07,C,1002
112,112,2024-12-03,C,1002
113,113,2025-03-13,C,1003
114,114,2024-06-24,C,1004
115,115,2024-01-07,C,1004
116,116,2025-02-04,C,1001
117,117,2025-02-25,C,1001
118,118,2024-05-19,C,1003
119,119,2025-01-24,C,1001
120,120,2024-12-20,C,1004
121,121,2024-12-20,C,1004
122,122,2024-02-19,C,1003
123,123,2025-06-01,A,1001
124,124,2024-05-02,C,1001
125,125,2024-01-03,C,1003
126,126,2024-09-10,C,1002
127,127,2024-08-03,C,1004
128,128,2024-05-20,C,1003
129,129,2024-04-07,B,1003
130,130,2024-02-16,A,1003
131,131,2024-12-06,C,1001
132,132,2024-05-24,A,1001
133,133,2025-04-07,C,1004
134,134,2025-03-22,C,1002
135,135,2024-03-04,C,1003
136,136,2025-05-09,C,1004
137,137,2024-05-19,C,1001
138,138,2024-09-24,C,1001
139,139,2024-06-22,C,1001
140,140,2024-11-03,C,1002
141,141,2024-10-15,C,1001
142,142,2024-05-11,C,1003
143,143,2024-09-06,C,1002
144,144,2024-11-04,C,1003
145,145,2025-04-07,A,1001
146,146,2024-08-26,C,1004
