ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Citizen Informant #1,38,8,1,1,1
2,2,Citizen Informant #2,28,9,1,1,1
3,3,Citizen Informant #3,53,9,1,1,2
4,4,Citizen Informant #4,36,5,1,1,1
5,5,Citizen Informant #5,42,8,1,1,1
6,6,Citizen Informant #6,41,9,1,1,2
7,7,Citizen Informant #7,55,1,1,1,1
8,8,Citizen Informant #8,41,7,1,1,1
9,9,Citizen Informant #9,46,8,1,1,2
10,10,Citizen Informant #10,34,6,1,1,1
11,11,Citizen Informant #11,41,1,1,1,1
12,12,Citizen Informant #12,48,9,1,1,1
13,13,Citizen Informant #13,44,3,1,1,2
14,14,Citizen Informant #14,36,6,1,1,2
15,15,Citizen Informant #15,52,1,1,1,1
16,16,Citizen Informant #16,29,5,1,1,1
17,17,Citizen Informant #17,31,2,1,1,2
18,18,Citizen Informant #18,44,7,1,1,1
19,19,Citizen Informant #19,41,6,1,1,2
20,20,Citizen Informant #20,31,2,1,1,1
21,21,Citizen Informant #21,49,5,1,1,2
22,22,Citizen Informant #22,33,7,1,1,1
23,23,Citizen Informant #23,25,7,1,1,1
24,24,Citizen Informant #24,33,9,1,1,1
25,25,Citizen Informant #25,37,7,1,1,2
26,26,Citizen Informant #26,30,1,1,1,2
27,27,Citizen Informant #27,54,6,1,1,1
28,28,Citizen Informant #28,27,2,1,1,1
29,29,Citizen Informant #29,25,4,1,1,2
30,30,Citizen Informant #30,42,5,1,1,2
31,31,Citizen Informant #31,45,2,1,1,1
32,32,Citizen Informant #32,50,9,1,1,2
33,33,Citizen Informant #33,45,4,1,1,1
34,34,Citizen Informant #34,57,9,1,1,2
35,35,Citizen Informant #35,54,4,1,1,2
36,36,Citizen Informant #36,43,8,1,1,2
37,37,Citizen Informant #37,32,3,1,1,2
38,38,Citizen Informant #38,55,7,1,1,1
39,39,Citizen Informant #39,36,2,1,1,1
40,40,Citizen Informant #40,36,10,1,1,1
41,41,Citizen Informant #41,26,3,1,1,2
42,42,Citizen Informant #42,56,6,1,1,1
43,43,Citizen Informant #43,28,3,1,1,1
44,44,Citizen Informant #44,38,7,1,1,2
45,45,Citizen Informant #45,31,6,1,1,2
46,46,Citizen Informant #46,49,10,1,1,2
47,47,Citizen Informant #47,52,8,1,1,1
48,48,Citizen Informant #48,48,8,1,1,1
49,49,Citizen Informant #49,44,8,1,1,1
50,50,Citizen Informant #50,43,5,1,1,2
51,51,Citizen Informant #51,40,6,1,1,1
52,52,Citizen Informant #52,58,3,1,1,1
53,53,Citizen Informant #53,27,2,1,1,1
54,54,Citizen Informant #54,45,7,1,1,2
55,55,Citizen Informant #55,53,7,1,1,2
56,56,Citizen Informant #56,39,10,1,1,1
57,57,Citizen Informant #57,55,8,1,1,2
58,58,Citizen Informant #58,58,9,1,1,2
59,59,Citizen Informant #59,59,10,1,1,2
60,60,Citizen Informant #60,58,5,1,1,1
61,61,Citizen Informant #61,43,5,1,1,1
62,62,Citizen Informant #62,36,5,1,1,2
63,63,Citizen Informant #63,39,7,1,1,1
64,64,Citizen Informant #64,58,2,1,1,1
65,65,Citizen Informant #65,44,4,1,1,2
66,66,Citizen Informant #66,33,6,1,1,1
67,67,Citizen Informant #67,47,8,1,1,2
68,68,Citizen Informant #68,29,9,1,1,1
69,69,Citizen Informant #69,30,6,1,1,1
70,70,Citizen Informant #70,51,1,1,1,1
71,71,Citizen Informant #71,44,5,1,1,1
72,72,Citizen Informant #72,26,8,1,1,2
73,73,Citizen Informant #73,46,6,1,1,2
74,74,Citizen Informant #74,33,7,1,1,2
75,75,Citizen Informant #75,48,1,1,1,2
76,76,Citizen Informant #76,49,8,1,1,2
77,77,Citizen Informant #77,48,5,1,1,1
78,78,Citizen Informant #78,26,7,1,1,1
79,79,Citizen Informant #79,50,6,1,1,2
80,80,Citizen Informant #80,56,2,1,1,2
81,81,Citizen Informant #81,36,2,1,1,2
