VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Victim Party #1,44,1,0
2,2,Victim Party #2,41,2,0
3,3,Victim Party #3,23,2,0
4,4,Victim Party #4,57,2,0
5,5,Victim Party #5,55,1,0
6,6,Victim Party #6,34,2,0
7,7,Victim Party #7,31,2,0
8,8,Victim Party #8,23,2,0
9,9,Victim Party #9,25,2,0
10,10,Victim Party #10,34,2,0
11,11,Victim Party #11,57,1,0
12,12,Victim Party #12,23,2,0
13,13,Victim Party #13,47,1,0
14,14,Victim Party #14,31,1,0
15,15,Victim Party #15,57,2,0
16,16,Victim Party #16,48,1,0
17,17,Victim Party #17,25,2,0
18,18,Victim Party #18,54,2,0
19,19,Victim Party #19,41,1,0
20,20,Victim Party #20,22,1,0
21,21,Victim Party #21,48,1,0
22,22,Victim Party #22,34,1,0
23,23,Victim Party #23,41,2,0
24,24,Victim Party #24,27,2,0
25,25,Victim Party #25,26,2,0
26,26,Victim Party #26,33,1,0
27,27,Victim Party #27,49,2,0
28,28,Victim Party #28,57,2,0
29,29,Victim Party #29,53,1,0
30,30,Victim Party #30,50,2,0
31,31,Victim Party #31,23,2,0
32,32,Victim Party #32,33,1,0
33,33,Victim Party #33,46,2,0
34,34,Victim Party #34,42,1,0
35,35,Victim Party #35,45,2,0
36,36,Victim Party #36,19,1,0
37,37,Victim Party #37,20,2,0
38,38,Victim Party #38,36,1,0
39,39,Victim Party #39,26,2,0
40,40,Victim Party #40,44,1,0
41,41,Victim Party #41,30,2,0
42,42,Victim Party #42,46,2,0
43,43,Victim Party #43,38,1,0
44,44,Victim Party #44,31,1,0
45,45,Victim Party #45,56,1,0
46,46,Victim Party #46,51,1,0
47,47,Victim Party #47,46,1,0
48,48,Victim Party #48,31,1,0
49,49,Victim Party #49,57,2,0
50,50,Victim Party #50,56,1,0
51,51,Victim Party #51,45,2,0
52,52,Victim Party #52,43,1,0
53,53,Victim Party #53,31,2,0
54,54,Victim Party #54,28,1,0
55,55,Victim Party #55,20,2,0
56,56,Victim Party #56,40,1,0
57,57,Victim Party #57,56,2,0
58,58,Victim Party #58,52,2,0
59,59,Victim Party #59,57,2,0
60,60,Victim Party #60,34,1,0
61,61,Victim Party #61,39,1,0
62,62,Victim Party #62,37,1,0
63,63,Victim Party #63,58,2,0
64,64,Victim Party #64,21,2,0
65,65,Victim Party #65,52,1,0
66,66,Victim Party #66,51,2,0
67,67,Victim Party #67,41,1,0
68,68,Victim Party #68,49,1,0
69,69,Victim Party #69,26,2,0
70,70,Victim Party #70,29,1,0
71,71,Victim Party #71,51,2,0
72,72,Victim Party #72,27,1,0
73,73,Victim Party #73,24,2,0
74,74,Victim Party #74,29,2,0
75,75,Victim Party #75,23,1,0
76,76,Victim Party #76,57,1,0
77,77,Victim Party #77,27,2,0
78,78,Victim Party #78,46,2,0
79,79,Victim Party #79,46,2,0
80,80,Victim Party #80,38,1,0
81,81,Victim Party #81,56,1,0
82,82,Victim Party #82,49,2,0
83,83,Victim Party #83,51,1,0
84,84,Victim Party #84,25,1,0
85,85,Victim Party #85,21,2,0
86,86,Victim Party #86,27,1,0
87,87,Victim Party #87,33,1,0
88,88,Victim Party #88,25,1,0
89,89,Victim Party #89,50,1,0
90,90,Victim Party #90,22,2,0
91,91,Victim Party #91,36,1,0
92,92,Victim Party #92,29,1,0
93,93,Victim Party #93,57,2,0
94,94,Victim Party #94,55,1,0
95,95,Victim Party #95,28,2,0
96,96,Victim Party #96,52,1,0
97,97,Victim Party #97,50,1,0
98,98,Victim Party #98,23,1,0
99,99,Victim Party #99,58,2,0
100,100,Victim Party #100,45,2,0
101,101,Victim Party #101,26,1,0
102,102,Victim Party #102,28,1,0
103,103,Victim Party #103,49,1,0
104,104,Victim Party #104,45,1,0
105,105,Victim Party #105,50,1,0
106,106,Victim Party #106,42,2,0
107,107,Victim Party #107,30,2,0
108,108,Victim Party #108,33,1,0
109,109,Victim Party #109,34,2,0
110,110,Victim Party #110,40,1,0
111,111,Victim Party #111,50,1,0
112,112,Victim Party #112,43,2,0
113,113,Victim Party #113,33,2,0
114,114,Victim Party #114,57,1,0
115,115,Victim Party #115,28,2,0
116,116,Victim Party #116,51,2,0
117,117,Victim Party #117,39,1,0
118,118,Victim Party #118,37,2,0
119,119,Victim Party #119,56,2,0
120,120,Victim Party #120,28,1,0
121,121,Victim Party #121,45,1,0
122,122,Victim Party #122,54,2,0
123,123,Victim Party #123,47,2,0
124,124,Victim Party #124,52,1,0
125,125,Victim Party #125,44,1,0
126,126,Victim Party #126,36,2,0
127,127,Victim Party #127,21,2,0
128,128,Victim Party #128,35,2,0
129,129,Victim Party #129,31,1,0
130,130,Victim Party #130,28,1,0
131,131,Victim Party #131,20,2,0
132,132,Victim Party #132,50,1,0
133,133,Victim Party #133,49,2,0
134,134,Victim Party #134,36,1,0
135,135,Victim Party #135,42,2,0
136,136,Victim Party #136,28,1,0
137,137,Victim Party #137,52,2,0
138,138,Victim Party #138,34,2,0
139,139,Victim Party #139,33,1,0
140,140,Victim Party #140,25,2,0
141,141,Victim Party #141,25,2,0
142,142,Victim Party #142,54,2,0
143,143,Victim Party #143,45,2,0
144,144,Victim Party #144,47,2,0
145,145,Victim Party #145,50,1,0
146,146,Victim Party #146,48,1,0
147,147,Victim Party #147,26,2,0
148,148,Victim Party #148,41,1,0
149,149,Victim Party #149,29,2,0
150,150,Victim Party #150,32,1,0
151,151,Victim Party #151,26,1,0
152,152,Victim Party #152,43,1,0
153,153,Victim Party #153,51,1,0
154,154,Victim Party #154,42,1,0
155,155,Victim Party #155,55,1,0
156,156,Victim Party #156,56,2,0
157,157,Victim Party #157,54,2,0
158,158,Victim Party #158,54,1,0
159,159,Victim Party #159,47,1,0
160,160,Victim Party #160,48,2,0
161,161,Victim Party #161,45,1,0
162,162,Victim Party #162,42,2,0
163,163,Victim Party #163,21,2,0
164,164,Victim Party #164,51,1,0
165,165,Victim Party #165,21,1,0
166,166,Victim Party #166,37,1,0
167,167,Victim Party #167,43,1,0
168,168,Victim Party #168,26,1,0
169,169,Victim Party #169,52,1,0
170,170,Victim Party #170,44,2,0
171,171,Victim Party #171,38,1,0
172,172,Victim Party #172,24,2,0
173,173,Victim Party #173,38,2,0
174,174,Victim Party #174,51,2,0
175,175,Victim Party #175,53,2,0
176,176,Victim Party #176,32,2,0
177,177,Victim Party #177,33,1,0
178,178,Victim Party #178,49,1,0
179,179,Victim Party #179,55,2,0
180,180,Victim Party #180,34,2,0
181,181,Victim Party #181,56,1,0
182,182,Victim Party #182,41,2,0
183,183,Victim Party #183,31,2,0
184,184,Victim Party #184,48,1,0
185,185,Victim Party #185,19,2,0
186,186,Victim Party #186,47,2,0
187,187,Victim Party #187,58,2,0
188,188,Victim Party #188,29,1,0
189,189,Victim Party #189,45,1,0
190,190,Victim Party #190,27,1,0
