Divisions,2021 Reported,2021 Detected,2021 Under Investigation,2022 Reported,2022 Detected,2022 UI,2023 Reported,2023 Detected,2023 UI
CENTRAL,660,166,3,989,173,36,1126,69,753
WEST,1148,223,2,1384,182,81,1941,47,1487
NORTH,618,319,28,1300,242,597,3260,238,2809
SOUTH,942,285,29,1360,578,184,2094,224,1351
EAST,602,198,3,937,129,99,1994,129,1750
NORTH EAST,832,130,2,1550,196,5,1917,201,1371
SOUTH EAST,735,278,13,1329,621,281,2674,298,2319
WHITE FIELD,869,653,102,1055,303,519,2562,55,2394
CYBER PS. COP,16,5,10,36,7,27,55,10,51
TOTAL,6422,2257,192,9940,2431,1829,17623,1271,14285
