station_name,area,division
Ashok Nagar,Brigade Road / Shanthala Nagar,Central
Cubbon Park,MG Road / Cubbon Park,Central
Halasuru Gate,Corporation / Town Hall,Central
High Grounds,Vasanth Nagar / Golf Course,Central
S.J. Park,Silver Jubilee Park / City Market East,Central
Sadashivanagar,Sadashivanagar / Palace Grounds,Central
Sampangirama Nagar,SR Nagar / Double Road,Central
Seshadripuram,Seshadripuram,Central
Vidhana Soudha,State Secretariat / Capitol,Central
Vivek Nagar,Vivek Nagar / Austin Town,Central
Vyalikaval,Vyalikaval / Malleshwaram East,Central
Baiyappanahalli,Baiyappanahalli / CV Raman Nagar,East
Banaswadi,Banaswadi / HRBR Layout,East
Bellandur,Bellandur / Sarjapur Road,East
Bharathinagar,Bharathinagar / Cox Town,East
Commercial Street,Commercial Street / Tasker Town,East
D.J. Halli,Devarajeevanahalli,East
Govindapura,Govindapura / Arabic College,East
HAL,Hindustan Aeronautics Limited / Suranjandas Road,East
Halasuru,Ulsoor / Someshwarapura,East
Hennur,Hennur / Kalyan Nagar,East
Indiranagar,Indiranagar / Doopanahalli,East
Jeevan Bima Nagar,JB Nagar / LIC Colony,East
K.G. Halli,Kadugondanahalli / Nagawara,East
Kadugodi,Kadugodi / Belathur,East
Krishnarajapuram,KR Puram / Tin Factory,East
Mahadevapura,Mahadevapura / Garudacharpalya,East
Marathahalli,Marathahalli / Kundalahalli,East
Pulakeshinagar,Frazer Town / Coles Park,East
Ramamurthy Nagar,Ramamurthy Nagar / Kasturi Nagar,East
Shivajinagar,Shivajinagar / Russell Market,East
Varthur,Varthur / Gunjur,East
Whitefield,Whitefield / EPIP Zone,East
Amrutahalli,Amrutahalli / Jakkur,North
Bagalagunte,Bagalagunte / Hesaraghatta Road,North
Bagalur,Bagalur / KIADB IT Park,North
Chikkajala,Chikkajala / Bettahalasuru,North
Gangammanagudi,Jalahalli East / Gangammanagudi,North
Hebbal,Hebbal / Anand Nagar,North
J.C. Nagar,Jayamahal / JC Nagar,North
Jalahalli,Jalahalli / Peenya 1st Stage,North
Kempegowda International Airport,KIAL / Devanahalli Highway,North
Kodigehalli,Kodigehalli / Sahakara Nagar,North
Kothanur,Kothanur / Hennur Main Road,North
Mahalakshmi Layout,Mahalakshmi Layout / Kurubarahalli,North
Malleshwaram,Malleshwaram,North
Nandini Layout,Nandini Layout / Kanteerava Studio,North
Peenya,Peenya Industrial Area,North
R.T. Nagar,RT Nagar / Ganganagar,North
Rajagopala Nagar,Rajagopala Nagar / Laggere,North
Rajajinagar,Rajajinagar,North
RMC Yard,Yeshwanthpur APMC / RMC Yard,North
Sampigehalli,Sampigehalli / Jakkur Layout,North
Sanjaynagar,Sanjaynagar / RMV 2nd Stage,North
Soladevanahalli,Soladevanahalli / Chikkabanavara,North
Srirampura,Srirampura / Prakash Nagar,North
Subramanyanagar,Subramanyanagar / Milk Colony,North
Vidyaranyapura,Vidyaranyapura,North
Yelahanka,Yelahanka,North
Yelahanka New Town,Yelahanka New Town,North
Yeshwanthpur,Yeshwanthpur / Mathikere,North
Adugodi,Adugodi / NDRI,South
Banashankari,Banashankari / Padmanabhanagar,South
Bandepalya,Bandepalya / HSR Sector 2,South
Basavanagudi,Basavanagudi / Gandhi Bazaar,South
Begur,Begur / Akshayanagar,South
Bommanahalli,Bommanahalli / Roopena Agrahara,South
CK Achukattu,Channammanakere Achukattu / BSK 3rd Stage,South
Electronic City,Electronic City Phase 1 & 2,South
Girinagar,Girinagar / Srinagar,South
Hanumanthanagar,Hanumanthanagar / Ashok Nagar,South
HSR Layout,HSR Layout / Agara,South
Hulimavu,Hulimavu / BG Road,South
J.P. Nagar,JP Nagar,South
Jayanagar,Jayanagar,South
Konanakunte,Konanakunte / Chunchgatta,South
Koramangala,Koramangala,South
Kumaraswamy Layout,Kumaraswamy Layout / ISRO Layout,South
Madiwala,Madiwala / BTM Layout 1st Stage,South
Microlayout,BTM Layout 2nd Stage,South
Parappana Agrahara,Parappana Agrahara / Kudlu Gate,South
Puttenahalli,Puttenahalli / Kothnur Dinne,South
Shankarapuram,Shankarapuram / Chamarajpet South,South
Siddapura,Siddapura / Jayanagar 1st Block,South
Subramanyapura,Subramanyapura / Uttarahalli,South
Talaghattapura,Talaghattapura / Kanakapura Road,South
Tilaknagar,Tilaknagar / Jayanagar East,South
V.V. Puram,Visvesvarapuram / Sajjan Rao Circle,South
Wilson Garden,Wilson Garden / Shanthinagar,South
Annapoorneshwari Nagar,Annapoorneshwari Nagar / Nagarabhavi,West
Basaveshwaranagar,Basaveshwaranagar / Kamalanagar,West
Byadarahalli,Byadarahalli / Sunkadakatte,West
Byatarayanapura,Byatarayanapura / Mysore Road,West
Chamarajapet,Chamarajapet,West
Chandra Layout,Chandra Layout / Attiguppe,West
Chickpet,Chickpet / Balepet,West
City Market,KR Market / Kalasipalya North,West
Cottonpet,Cottonpet / Akkipete,West
Govindarajanagar,Govindarajanagar / Prashanth Nagar,West
J.J. Nagar,Jagajeevanram Nagar / Goripalya,West
Jnanabharathi,Jnanabharathi / BU Campus,West
Kalasipalya,Kalasipalya / Victoria Hospital,West
Kamakshipalya,Kamakshipalya / Magadi Road,West
Kempapura Agrahara,KP Agrahara / Binnypet,West
Kengeri,Kengeri / Satellite Town,West
Magadi Road,Magadi Road / Rajajinagar 1st Block,West
Rajarajeshwari Nagar,RR Nagar / Ideal Homes,West
Upparpet,Upparpet / Majestic,West
Vijayanagar,Vijayanagar / Hampinagar,West
